"Elba Ramalho - Rua da Passagem ( Trânsito )","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","4'20""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - A Dança das Borboletas","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","5'18""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Noite Severina","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","4'52""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Estrela Miúda","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","5'22""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Miragem do Porto","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","7'27""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Conceição dos Coqueiros","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","6'02""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Palavra de Mulher","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","4'38""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Um Índio","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","6'28""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Dois Pra Sempre","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","3'13""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Na Base da Chinela","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","7'23""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Gostoso Demais","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","4'37""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Tempos Quase Modernos ( Qual o Assunto Que Mais Lhe Interessa? )","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","4'35""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Banho de Cheiro / Frevo Mulher","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","7'23""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Amplidão","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","3'20""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Folia de Príncipe / O Boi Cavalo de Tróia","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","6'34""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Documentario - Elba Ramalho","Atração (http://www.atracao.com.br/)",,,"44'58""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - Boiadeiro Errante","Atração (http://www.atracao.com.br/)",," Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","3'49""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - Comitiva Esperança","Atração (http://www.atracao.com.br/)",," Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","3'47""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - Tocando em Frente","Atração (http://www.atracao.com.br/)",," Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","3'52""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - Procissão","Atração (http://www.atracao.com.br/)",," Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","4'14""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - Serafim e Seus Filhos","Atração (http://www.atracao.com.br/)",," Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","4'12""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - Romaria","Atração (http://www.atracao.com.br/)",," Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","3'54""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
